INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
75, 20120913_0823_11569_C2.6, 2012-09-13 08:23, 2012-09-13 08:34, 2012-09-13 08:57,2.60E-06,-12,-39,11569,C,8.91E+21,4.58E+17,1.60E+20,56.0432,0.00979494,3.29E+11,0.0359526,9.09601,0.000136248,0.0857751,14.7181
76, 20120927_1704_11579_C4.4, 2012-09-27 17:04, 2012-09-27 17:20, 2012-09-27 17:30,4.40E-06,-18,-39,11579,C,3.37E+21,7.62E+16,5.76E+18,57.0113,0.00734611,1.27E+11,0.0070064,0.910832,8.98E-05,0.11527,6.34858
77, 20121113_0158_11613_M6.0, 2012-11-13 01:58, 2012-11-13 02:04, 2012-11-13 02:06,6.00E-05,-22,-43,11613,E,1.24E+23,2.67E+18,3.89E+20,61.4973,0.0092939,2.45E+12,0.0206673,40.9626,0.000105523,0.163473,48.5411
78, 20121115_0422_11610_C6.3, 2012-11-15 04:22, 2012-11-15 04:37, 2012-11-15 04:51,6.30E-06,-23,36,11610,E,5.40E+21,1.51E+17,2.84E+19,43.7622,0.00938981,2.08E+11,0.00455433,0.760573,8.18E-05,-0.0172169,2.31223
79, 20121121_1510_11618_M3.5, 2012-11-21 15:10, 2012-11-21 15:30, 2012-11-21 15:38,3.50E-05,8,-14,11618,E,1.29E+23,3.36E+18,5.29E+20,55.6657,0.00908398,3.17E+12,0.0260936,68.6001,0.000124436,-0.0947368,25.8802
80, 20121127_2105_11620_M1.0, 2012-11-27 21:05, 2012-11-27 21:26, 2012-11-27 21:30,1.00E-05,-14,41,11620,C,9.24E+22,2.55E+18,9.86E+20,53.9007,0.00902988,2.36E+12,0.0220629,43.3315,0.000125103,-0.00212937,64.1722
81, 20121210_0549_11630_C5.5, 2012-12-10 05:49, 2012-12-10 05:58, 2012-12-10 06:01,5.50E-06,18,-2,11630,E,9.33E+21,4.08E+17,6.35E+19,58.8819,0.00796737,2.98E+11,0.00800981,2.25076,0.000104261,0.0658464,14.9998
82, 20121212_0722_11629_C5.7, 2012-12-12 07:22, 2012-12-12 07:27, 2012-12-12 07:30,5.70E-06,11,16,11629,E,8.55E+21,2.21E+17,5.18E+19,52.508,0.00872206,2.47E+11,0.00879096,1.87247,0.000109274,0.0800257,6.98526
83, 20121225_1258_11635_C4.1, 2012-12-25 12:58, 2012-12-25 13:04, 2012-12-25 13:07,4.10E-06,11,5,11635,C,7.92E+22,1.67E+18,2.38E+20,71.1684,0.0085484,1.48E+12,0.01342,17.4326,0.000115375,-0.0446487,12.3843
84, 20130103_2127_11640_C1.7, 2013-01-03 21:27, 2013-01-03 21:38, 2013-01-03 21:45,1.70E-06,28,21,11640,C,3.37E+22,9.96E+17,4.07E+20,43.4316,0.00921951,1.05E+12,0.0220048,18.8141,0.000129393,-0.017431,22.4015
