INDEX, KEY, TSTART [UT], TPEAK [UT], TFINAL [UT], IXPEAK [W/m^2], LAT [deg], LON [deg], ARNUM,Confined/Eruptive,E_TOTAL[erg cm^-1] ,AREA_HED[CM^2],Flux_HED [Mx],SHEAR[DEG],UJ_MEAN[mA m^-2],J_TOTAL[A],UHC_MEAN[G^2 m^-1],HC_TOTAL[G^2 m^-1],GBH_MEAN[G m^-1],ALP_MEAN [Mm^-1],LPIL [Mm]
284, 20220313_0312_12962_C4.9, 2022-03-13 03:12, 2022-03-13 03:23, 2022-03-13 03:31,4.90E-06,29,37,12962,C,1.04E+21,6.28E+16,3.52E+18,49.548405,0.008416,3.92E+10,0.002853,0.09987,0.000101,-0.871994,0
285, 20220314_0829_12965_M2.0, 2022-03-14 08:29, 2022-03-14 08:40, 2022-03-14 08:45,2.00E-05,23,-3,12965,C,4.27E+22,1.02E+18,1.85E+20,52.6783,0.00788556,8.31E+11,0.0254169,20.1556,0.000130678,0.071459,18.0556
286, 20220329_1444_12976_C4.3, 2022-03-29 14:44, 2022-03-29 14:47, 2022-03-29 14:51,4.30E-06,15,3,12976,C,3.67E+22,1.07E+18,2.60E+20,62.172768,0.007724,7.26E+11,0.01015,7.17603,0.000107,0.012175,12.6561
287, 20220330_1721_12975_X1.3, 2022-03-30 17:21, 2022-03-30 17:37, 2022-03-30 17:46,1.30E-04,13,31,12975,E,3.26E+23,6.09E+18,1.95E+21,66.0092,0.00900508,5.49E+12,0.029487,135.346,0.000131556,0.0557439,59.5634
288, 20220422_1316_12993_M3.4, 2022-04-22 13:16, 2022-04-22 13:25, 2022-04-22 13:30,3.40E-05,21,0,12993,C,8.57E+22,2.25E+18,3.77E+20,54.9482,0.00727171,1.95E+12,0.00696296,14.0164,8.43E-05,0.104511,34.6351
289, 20220424_1039_12994_C2.0, 2022-04-24 10:39, 2022-04-24 10:42, 2022-04-24 10:46,2.00E-06,11,10,12994,C,1.44E+22,6.70E+17,2.03E+20,41.298939,0.007842,3.53E+11,0.020856,7.070348,0.000105,0.021572,4.92195
290, 20220504_0845_13004_M5.7, 2022-05-04 08:45, 2022-05-04 08:59, 2022-05-04 09:10,5.70E-05,-15,7,13004,C,1.28E+23,2.69E+18,5.09E+20,54.8378,0.00833626,2.12E+12,0.0181614,34.779,0.000102606,0.199712,21.7108
291, 20220510_1350_13006_X1.5, 2022-05-10 13:50, 2022-05-10 13:55, 2022-05-10 13:59,1.50E-04,-29,4,13006,C,6.29E+22,1.18E+18,1.62E+20,65.3821,0.00828566,9.70E+11,0.00381356,3.35975,8.05E-05,0.0360131,41.793
292, 20220517_1619_13007_C4.6, 2022-05-17 16:19, 2022-05-17 16:26, 2022-05-17 16:33,4.60E-06,-24,41,13007,C,1.86E+22,8.05E+17,1.84E+20,53.677193,0.00765,5.90E+11,0.013894,8.058749,0.000104,0.002492,7.5968
293, 20220519_1505_13014_M1.1, 2022-05-19 15:05, 2022-05-19 15:16, 2022-05-19 15:23,1.10E-05,22,-11,13014,C,5.30E+23,8.77E+18,3.07E+21,52.9715,0.00798255,6.78E+12,0.0311828,199.133,0.000109611,-0.0922888,72.944
294, 20220521_1527_13010_C2.5, 2022-05-21 15:27, 2022-05-21 15:39, 2022-05-21 15:48,2.50E-06,-16,38,13010,C,2.86E+21,1.32E+17,1.74E+19,41.270691,0.007298,8.25E+10,0.009938,0.844725,0.000088,0.066766,3.78726
295, 20220522_1417_13017_C3.7, 2022-05-22 14:17, 2022-05-22 14:31, 2022-05-22 14:48,3.70E-06,11,11,13017,C,2.42E+22,1.10E+18,3.10E+20,58.745018,0.008533,7.02E+11,0.008758,5.421373,0.00009,-0.096946,21.0434
296, 20220525_1107_13019_C2.0, 2022-05-25 11:07, 2022-05-25 11:19, 2022-05-25 11:27,2.00E-06,11,2,13019,C,2.73E+19,1.29E+18,1.19E+20,75.708321,0.003773,5.01E+08,0.00159,0.00159,0.000071,-1.413544,1.8745
297, 20220614_1411_13031_C8.6, 2022-06-14 14:11, 2022-06-14 14:20, 2022-06-14 14:26,8.60E-06,-27,-4,13031,C,9.68E+22,2.19E+18,3.05E+20,58.929192,0.008997,1.96E+12,0.011621,19.011362,0.000101,0.144468,29.6992
298, 20220617_1052_13030_C5.6, 2022-06-17 10:52, 2022-06-17 11:23, 2022-06-17 11:38,5.60E-06,17,26,13030,C,3.19E+22,8.47E+17,1.80E+20,47.106976,0.007728,6.67E+11,0.020107,13.049718,0.000119,-0.028941,7.92246
299, 20220620_0605_13038_C5.7, 2022-06-20 06:05, 2022-06-20 06:18, 2022-06-20 06:28,5.70E-06,15,-2,13038,C,6.38E+22,1.79E+18,2.56E+20,56.896553,0.00838,1.63E+12,0.016783,24.519794,0.000125,-0.009343,30.6517
300, 20220712_0934_13055_C2.9, 2022-07-12 09:34, 2022-07-12 09:42, 2022-07-12 09:46,2.90E-06,-17,5,13055,C,2.73E+22,9.10E+17,2.68E+20,55.051212,0.007689,6.56E+11,0.023428,15.040516,0.000137,0.012445,22.0536
301, 20220714_1645_13053_C6.3, 2022-07-14 16:45, 2022-07-14 16:50, 2022-07-14 16:54,6.30E-06,18,39,13053,C,6.27E+22,1.59E+18,3.26E+20,61.227535,0.009618,1.42E+12,0.018677,20.693975,0.000114,-0.037313,32.1329
302, 20220715_0755_13056_C5.5, 2022-07-15 07:55, 2022-07-15 07:59, 2022-07-15 08:03,5.50E-06,-18,-10,13056,C,4.23E+22,9.89E+17,2.68E+20,54.084572,0.007842,7.48E+11,0.006502,4.668615,0.000089,0.082436,10.9124
303, 20220719_0239_13057_C2.2, 2022-07-19 02:39, 2022-07-19 02:52, 2022-07-19 03:18,2.20E-06,20,18,13057,C,2.11E+21,1.08E+17,2.06E+19,59.646835,0.008196,7.74E+10,0.007276,0.516599,0.0001,-0.011972,0
304, 20220721_0102_13060_C5.6, 2022-07-21 01:02, 2022-07-21 01:11, 2022-07-21 01:33,5.60E-06,13,2,13060,E,8.27E+19,2.21E+17,2.35E+19,15.86091,0.011453,4.57E+09,0.004481,0.013444,0.00008,1.122215,5.83904
305, 20220814_1150_13076_C2.4, 2022-08-14 11:50, 2022-08-14 12:35, 2022-08-14 13:36,2.40E-06,21,14,13076,E,8.17E+20,6.28E+16,3.37E+18,37.452301,0.008066,2.79E+10,0.000579,0.015061,0.000067,-1.386531,0
306, 20220816_0752_13078_M5.0, 2022-08-16 07:52, 2022-08-16 07:58, 2022-08-16 08:05,5.00E-05,-22,11,13078,C,1.43E+23,3.58E+18,6.05E+20,52.0665,0.0097727,3.65E+12,0.00914915,25.7183,0.000108359,0.0738623,51.8442
307, 20220822_1401_13085_C5.0, 2022-08-22 14:01, 2022-08-22 14:09, 2022-08-22 14:14,5.00E-06,30,-9,13085,C,3.95E+22,1.11E+18,3.75E+20,44.574306,0.008704,9.95E+11,0.01694,14.568414,0.000136,0.054534,15.6007
308, 20220911_2208_13098_C6.1, 2022-09-11 22:08, 2022-09-11 22:28, 2022-09-11 22:39,6.10E-06,19,24,13098,C,1.00E+23,1.91E+18,3.19E+20,58.590363,0.00897,1.81E+12,0.018354,27.842253,0.000144,0.017047,29.0674
309, 20220916_0308_13103_C3.9, 2022-09-16 03:08, 2022-09-16 03:17, 2022-09-16 03:22,3.90E-06,-15,-3,13103,C,1.35E+22,3.94E+17,5.15E+19,52.153427,0.009593,3.69E+11,0.017189,4.967645,0.000183,0.019974,6.4113
310, 20220920_1113_13102_M1.0, 2022-09-20 11:13, 2022-09-20 11:22, 2022-09-20 11:34,1.00E-05,-25,17,13102,C,3.20E+22,9.24E+17,2.01E+20,66.1246,0.0082143,8.80E+11,0.0142542,11.4889,0.000110066,0.08256,12.7154
311, 20220922_1123_13105_C7.8, 2022-09-22 11:23, 2022-09-22 11:34, 2022-09-22 11:39,7.80E-06,-15,-42,13105,C,4.89E+22,1.59E+18,5.31E+20,53.547886,0.008429,1.37E+12,0.036487,44.477924,0.000149,0.012506,44.9995
312, 20220926_2044_13107_C3.6, 2022-09-26 20:44, 2022-09-26 21:14, 2022-09-26 21:32,3.60E-06,-23,-3,13107,C,2.21E+22,6.79E+17,2.06E+20,51.064278,0.008208,6.04E+11,0.014794,8.195601,0.000112,0.022823,19.2119
313, 20221010_1605_13112_M2.4, 2022-10-10 16:05, 2022-10-10 16:28, 2022-10-10 16:47,2.40E-05,24,33,13112,C,1.95E+23,5.25E+18,1.67E+21,50.257,0.00774078,4.50E+12,0.0148426,64.9066,0.000108749,-0.0211642,42.8254
314, 20221111_1127_13141_M1.2, 2022-11-11 11:27, 2022-11-11 11:40, 2022-11-11 11:46,1.20E-05,11,11,13141,C,7.63E+22,2.21E+18,2.58E+20,63.303387,0.00746,1.50E+12,0.015727,23.779785,0.000109,-0.004343,17.4263
315, 20221205_0518_13158_C2.7, 2022-12-05 05:18, 2022-12-05 05:30, 2022-12-05 05:40,2.70E-06,23,-5,13158,C,7.73E+21,2.71E+17,1.47E+19,40.196232,0.008233,2.34E+11,0.003746,0.801547,0.000085,-0.069954,3.01107
316, 20221207_1901_13153_C2.5, 2022-12-07 19:01, 2022-12-07 19:04, 2022-12-07 19:08,2.50E-06,-16,5,13153,C,4.34E+22,1.14E+18,2.12E+20,49.962555,0.007345,8.50E+11,0.012129,10.564296,0.000104,-0.011841,25.4896
317, 20221209_2238_13157_C5.0, 2022-12-09 22:38, 2022-12-09 22:42, 2022-12-09 22:46,5.00E-06,13,8,13157,C,1.95E+22,4.02E+17,1.23E+19,61.99667,0.008141,3.53E+11,0.005525,1.801001,0.000103,0.037454,4.49943
318, 20221214_1224_13165_M4.1, 2022-12-14 12:24, 2022-12-14 12:31, 2022-12-14 12:38,4.10E-05,-20,42,13165,C,1.19E+23,3.36E+18,5.20E+20,53.729572,0.008615,2.79E+12,0.01892,46.088539,0.000115,0.006186,36.1143
319, 20221215_1647_13163_M2.1, 2022-12-15 16:47, 2022-12-15 16:56, 2022-12-15 17:20,2.10E-05,-21,-5,13163,C,9.44E+22,1.80E+18,3.07E+20,65.44828,0.01093,1.90E+12,0.041775,54.600178,0.000167,-0.194408,47.0978
320, 20221223_1428_13171_C6.6, 2022-12-23 14:28, 2022-12-23 14:46, 2022-12-23 14:58,6.60E-06,22,-14,13171,C,1.58E+21,2.94E+16,8.59E+17,36.437229,0.006779,4.69E+10,0.005237,0.272334,0.000082,0.292839,4.70779
321, 20221226_1008_13169_C4.1, 2022-12-26 10:08, 2022-12-26 10:11, 2022-12-26 10:20,4.10E-06,22,35,13169,C,4.32E+22,1.54E+18,4.54E+20,46.150383,0.008615,1.30E+12,0.008413,9.548433,0.000096,0.004207,41.1508
322, 20221230_1926_13176_M3.7, 2022-12-30 19:26, 2022-12-30 19:38, 2022-12-30 19:47,3.70E-05,20,-15,13176,C,1.71E+22,4.93E+17,1.02E+20,65.18203,0.007894,3.99E+11,0.007814,2.969196,0.000115,-0.01644,4.02154
